id,name,type,is_deceased,date_of_birth,date_of_death
m.012517n9,Horst Trebes,people.deceased_person,true,1916-10-22,1944-07-29
m.03hnt19,Conor Clune,people.deceased_person,true,1893-01-01,1920-11-21
m.0115gwbh,Merveille Goblet,people.person,false,1994-11-20,null
m.03y8_57,Tony Iro,people.person,false,1967-05-30,null
m.010q36,Fred Rogers,people.person,true,1928-03-20,2003-02-27
m.026gg_8,Henriette Mertz,people.deceased_person,true,1898-01-01,1982-01-01
m.04zvv7k,Eddie Gazo,people.person,false,1950-09-12,null
m.05y29v3,Lawrence Lee,people.person,true,1903-01-01,1978-01-01
m.04ktb5,Julie Winnefred Bertrand,people.deceased_person,true,1891-09-16,2007-01-18
m.06q1kw,Shirley Fry,people.person,false,1927-06-30,null
m.0520xzl,Nick Ponting,people.person,false,1991-04-05,null
m.0105l25j,Roger Ohman,people.person,false,1967-06-05,null
m.036skp,John Batman,people.deceased_person,true,1801-01-21,1839-05-06
m.01tc9r,Howard Shore,people.person,false,1946-10-18,null
m.04kblc,Baden Teague,people.person,false,1944-09-18,null
m.04gm5_5,Thomas Carr,people.person,true,1907-07-04,1997-04-23
m.0124t0ck,Ike Sellers,people.person,true,1905-07-17,1997-10-12
m.03b_sqc,Angela Hartnett,people.person,false,1968-01-01,null
m.05b1hgg,Gunnar Jervill,people.person,false,1945-11-23,null
m.02prq8r,Red Smith,people.deceased_person,true,1899-07-17,1961-02-19
m.02w1d2z,Ronnie e Donnie Galyon,people.person,false,1951-10-28,null
m.012z69,Duncan II di Scozia,people.person,true,1060-01-01,1094-11-12
m.066wm8,Jim McLaughlin,people.person,true,1861-02-12,1927-01-19
m.026m8wc,Chanmyay Sayadaw,people.person,false,1928-07-24,null
m.02rrsz,Penelope Ann Miller,people.person,false,1964-01-13,null
m.04gpx0k,Vladimir Lisitsin,people.person,true,1938-08-20,1971-01-01
m.01w07xk,Faye Tozer,people.person,false,1975-11-14,null
m.0131xwmv,Sarah Puntigam,people.person,false,1992-10-13,null
